specObjID,ra,dec,z,zErr,plate,mjd,fiberID,survey
431346963292645376,350.98091,0.59729176,2.301848,0.0003483617,383,51818,463,sdss
765758483487287296,351.07558,0.73345939,2.34629,0.0008134891,680,52200,533,sdss
765759582998915072,350.89814,0.90212332,2.298316,0.0003021539,680,52200,537,sdss
4740064262789287936,350.85906,-1.0092013,2.350765,0.0002616498,4210,55444,93,boss
4740071134736961536,350.91668,-0.19960477,2.310605,0.001604388,4210,55444,118,boss
4741328426316877824,350.89812,0.90212564,2.300246,0.0002657868,4211,55446,596,boss
4741330625340133376,350.98098,0.59726689,2.301008,0.0005745196,4211,55446,604,boss
4741331724851761152,351.07554,0.73349112,2.349943,0.0002657606,4211,55446,608,boss
4823449857279938560,350.99669,1.444351,2.344972,0.0005076465,4284,55863,344,boss
4823459203128774656,351.08545,2.0355681,2.415754,0.0007210896,4284,55863,378,boss
4823520775779930112,350.8525,2.6871366,2.382668,0.0005486151,4284,55863,602,boss
4823521325535744000,350.9003,2.690239,2.345764,0.001060752,4284,55863,604,boss
4823521875291557888,350.92249,2.6072439,2.415482,0.0003625434,4284,55863,606,boss
4824526554343428096,350.92249,2.6072439,2.415583,0.0003300605,4285,55881,165,boss
4824527104099241984,350.9003,2.690239,2.347979,0.0009884634,4285,55881,167,boss
4908008892989198336,350.97225,-2.2736021,2.377975,0.0007740678,4359,55533,768,boss
4908017689082220544,351.02139,-1.5229656,2.308417,0.0005152501,4359,55533,800,boss
10307660786206789632,351.02139,-1.5229656,2.308399,0.0003715573,9155,58043,171,eboss
10307837807578861568,350.89068,-0.604198,2.292021,0.0007531613,9155,58043,815,eboss
10307844679526535168,350.91668,-0.19960477,2.307358,0.001293878,9155,58043,840,eboss
10330180708589654016,351.07554,0.73349112,2.348879,0.0001705657,9175,58049,178,eboss
10330185106636165120,350.9967,1.444351,2.342625,0.0006688955,9175,58049,194,eboss
10330189229804769280,350.98094,0.59726699,2.301057,0.0004767646,9175,58049,209,eboss
